run_id,case_id,family,behavior_class,procedure,repetition,observed_outcome,expected_outcome,all_match,phase_reached,diagnostic_classes,sink_hits,dispatch_outcome,unknown_rule_findings,wall_ms
final,E0-01,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,22.766
final,E0-02,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.292
final,E0-03,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,22.219
final,E0-04,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,22.184
final,E0-05,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.438
final,E0-06,E0,historical_request_directory,snapshot_directory,1,INCOMPLETE,,,artifact_inventory,,,,0,6.489
final,E0-07,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.218
final,E0-08,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,22.959
final,E0-09,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.616
final,E0-10,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,24.387
final,E0-11,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.556
final,E0-12,E0,historical_request_directory,snapshot_directory,1,INCOMPLETE,,,artifact_inventory,,,,0,1.472
final,E0-13,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,25.347
final,E0-14,E0,historical_request_directory,snapshot_directory,1,INCOMPLETE,,,artifact_inventory,,,,0,1.447
final,E0-15,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.621
final,E0-16,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,25.89
final,E0-17,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,30.777
final,E0-18,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.825
final,E0-19,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.002
final,E0-20,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,24.18
final,E0-21,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.863
final,E0-22,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,23.165
